year,commodity,min_price,max_price,avg_price,count
2022,Broiler Chicken Meat,32544.242424242424,43794.545454545456,37139.61297883699,11241
2022,Bulk Cooking Oil,13431.818181818182,20694.848484848484,15220.542373197115,7227
2022,Bulk Wheat Flour,8658.181818181818,11689.69696969697,10316.922551170426,11241
2022,Chicken Eggs,23276.363636363636,32591.21212121212,27796.964380563382,11241
2022,Consumption Sugar,13319.39393939394,15191.818181818182,14503.347971786832,11241
2022,Curly Red Chili,29330.303030303032,86710.60606060606,48815.33619046707,11239
2022,Garlic,25158.484848484848,34300.606060606064,28968.4851736697,11241
2022,Medium Rice,10636.060606060606,11905.454545454546,11158.137656714976,11241
2022,Premium Rice,12184.848484848484,13523.636363636364,12741.825418041171,11241
2022,Pure Beef,124353.0303030303,149249.69696969696,133919.8301045431,11241
2022,Red Cayenne Pepper,36437.878787878784,101353.33333333333,58312.43349366718,10940
2022,Shallots,27370.303030303032,65451.51515151515,37451.72911263907,11241
2022,Simple Packaged Cooking Oil,16295.151515151516,26673.636363636364,20249.98084022899,11193
2023,Broiler Chicken Meat,32647.878787878788,42555.15151515151,36899.07750214345,12402
2023,Bulk Cooking Oil,13880.0,16820.0,15157.102165665206,12397
2023,Bulk Wheat Flour,10542.424242424242,12101.515151515152,11297.764865318644,12402
2023,Chicken Eggs,27170.909090909092,33094.242424242424,30044.904035301126,12402
2023,Consumption Sugar,14169.39393939394,17952.727272727272,15222.683622829994,12402
2023,Curly Red Chili,28386.060606060608,82099.39393939394,46703.92994522311,12401
2023,Garlic,27000.303030303032,43585.15151515151,35979.83610981598,12402
2023,Medium Rice,11340.0,13889.09090909091,12481.167235605591,12402
2023,Premium Rice,13033.030303030304,15668.484848484848,14252.710072728507,12402
2023,Pure Beef,132730.9090909091,150153.63636363635,138054.85752988467,12401
2023,Red Cayenne Pepper,32432.424242424244,104173.63636363637,55633.07138547327,12045
2023,Shallots,23373.333333333332,44880.30303030303,34716.49409926689,12402
2023,Simple Packaged Cooking Oil,16471.515151515152,19652.424242424244,18004.25355604114,12402
2024,Broiler Chicken Meat,33708.48484848485,43666.06060606061,37853.11817683525,9252
2024,Bulk Cooking Oil,14204.848484848484,17484.545454545456,16064.475260961188,9075
2024,Bulk Wheat Flour,9961.818181818182,11739.39393939394,10667.765558198256,9251
2024,Chicken Eggs,27968.78787878788,34671.818181818184,30595.296766851312,9252
2024,Consumption Sugar,17020.0,19075.454545454544,17984.31279063632,9252
2024,Curly Red Chili,31240.909090909092,85459.09090909091,51600.675442053056,9252
2024,Garlic,37170.0,47720.606060606064,41776.38517578769,9252
2024,Medium Rice,12827.575757575758,15130.90909090909,13872.383089119196,9252
2024,Premium Rice,14834.848484848484,17157.878787878788,15917.233290304046,9252
2024,Pure Beef,131640.0,149128.18181818182,137109.60626781007,9249
2024,Red Cayenne Pepper,35645.757575757576,92790.60606060606,57689.31226599467,9116
2024,Shallots,25774.242424242424,56775.757575757576,37995.6689999976,9252
2024,Simple Packaged Cooking Oil,16786.666666666668,19453.030303030304,18029.266323411823,9252
