year,commodity,is_predicted,min_price,max_price,avg_price,count
2022,Broiler Chicken Meat,False,32544.242424242424,43794.545454545456,37139.61297883699,11241
2022,Bulk Cooking Oil,False,13431.818181818182,20694.848484848484,15220.542373197115,7227
2022,Bulk Wheat Flour,False,8658.181818181818,11689.69696969697,10316.922551170426,11241
2022,Chicken Eggs,False,23276.363636363636,32591.21212121212,27796.964380563382,11241
2022,Consumption Sugar,False,13319.39393939394,15191.818181818182,14503.347971786832,11241
2022,Curly Red Chili,False,29330.303030303032,86710.60606060606,48815.33619046707,11239
2022,Garlic,False,25158.484848484848,34300.606060606064,28968.4851736697,11241
2022,Medium Rice,False,10636.060606060606,11905.454545454546,11158.137656714976,11241
2022,Premium Rice,False,12184.848484848484,13523.636363636364,12741.825418041171,11241
2022,Pure Beef,False,124353.0303030303,149249.69696969696,133919.8301045431,11241
2022,Red Cayenne Pepper,False,36437.878787878784,101353.33333333333,58312.43349366718,10940
2022,Shallots,False,27370.303030303032,65451.51515151515,37451.72911263907,11241
2022,Simple Packaged Cooking Oil,False,16295.151515151516,26673.636363636364,20249.98084022899,11193
2023,Broiler Chicken Meat,False,32647.878787878788,42555.15151515151,36899.07750214345,12402
2023,Bulk Cooking Oil,False,13880.0,16820.0,15157.102165665206,12397
2023,Bulk Wheat Flour,False,10542.424242424242,12101.515151515152,11297.764865318644,12402
2023,Chicken Eggs,False,27170.909090909092,33094.242424242424,30044.904035301126,12402
2023,Consumption Sugar,False,14169.39393939394,17952.727272727272,15222.683622829994,12402
2023,Curly Red Chili,False,28386.060606060608,82099.39393939394,46703.92994522311,12401
2023,Garlic,False,27000.303030303032,43585.15151515151,35979.83610981598,12402
2023,Medium Rice,False,11340.0,13889.09090909091,12481.167235605591,12402
2023,Premium Rice,False,13033.030303030304,15668.484848484848,14252.710072728507,12402
2023,Pure Beef,False,132730.9090909091,150153.63636363635,138054.85752988467,12401
2023,Red Cayenne Pepper,False,32432.424242424244,104173.63636363637,55633.07138547327,12045
2023,Shallots,False,23373.333333333332,44880.30303030303,34716.49409926689,12402
2023,Simple Packaged Cooking Oil,False,16471.515151515152,19652.424242424244,18004.25355604114,12402
2024,Broiler Chicken Meat,False,33708.48484848485,43666.06060606061,37853.11817683525,9252
2024,Bulk Cooking Oil,False,14204.848484848484,17484.545454545456,16064.475260961188,9075
2024,Bulk Wheat Flour,False,9961.818181818182,11739.39393939394,10667.765558198256,9251
2024,Chicken Eggs,False,27968.78787878788,34671.818181818184,30595.296766851312,9252
2024,Consumption Sugar,False,17020.0,19075.454545454544,17984.31279063632,9252
2024,Curly Red Chili,False,31240.909090909092,85459.09090909091,51600.675442053056,9252
2024,Garlic,False,37170.0,47720.606060606064,41776.38517578769,9252
2024,Medium Rice,False,12827.575757575758,15130.90909090909,13872.383089119196,9252
2024,Premium Rice,False,14834.848484848484,17157.878787878788,15917.233290304046,9252
2024,Pure Beef,False,131640.0,149128.18181818182,137109.60626781007,9249
2024,Red Cayenne Pepper,False,35645.757575757576,92790.60606060606,57689.31226599467,9116
2024,Shallots,False,25774.242424242424,56775.757575757576,37995.6689999976,9252
2024,Simple Packaged Cooking Oil,False,16786.666666666668,19453.030303030304,18029.266323411823,9252
2025,Broiler Chicken Meat,True,34131.111111111124,43210.10101010103,38015.877809749676,0
2025,Bulk Cooking Oil,True,14611.919191919193,15811.919191919184,16324.639487705239,0
2025,Bulk Wheat Flour,True,11024.444444444467,11973.434343434348,11309.532088453705,0
2025,Chicken Eggs,True,30831.111111111084,35574.646464646496,32341.438659956828,0
2025,Consumption Sugar,True,18536.868686868653,21290.303030303043,19384.412947267152,0
2025,Curly Red Chili,True,31563.030303030304,83504.84848484838,51825.31977750034,0
2025,Garlic,True,41787.77777777779,55288.78787878785,48382.80215520934,0
2025,Medium Rice,True,13792.727272727256,16867.272727272735,15218.141426217422,0
2025,Premium Rice,True,16000.909090909097,19084.242424242475,17479.33079928747,0
2025,Pure Beef,True,136861.61616161623,149689.49494949495,140259.01161311744,0
2025,Red Cayenne Pepper,True,34046.565656565595,90876.46464646458,56588.48448737255,0
2025,Shallots,True,23909.898989899,47026.767676767646,37265.23729132641,0
2025,Simple Packaged Cooking Oil,True,17009.292929292933,17265.353535353544,17184.98168614535,0
2026,Broiler Chicken Meat,True,34713.23232323233,43277.474747474764,38531.36759470681,0
2026,Bulk Cooking Oil,True,14998.434343434345,16043.484848484844,16778.651377148093,0
2026,Bulk Wheat Flour,True,11676.262626262647,12428.686868686886,11864.617886154365,0
2026,Chicken Eggs,True,33177.32323232321,37180.10101010099,34358.99324777672,0
2026,Consumption Sugar,True,20387.171717171685,23232.121212121227,21154.052997475083,0
2026,Curly Red Chili,True,32518.333333333332,82879.0909090908,53217.9894032934,0
2026,Garlic,True,47793.535353535364,61998.78787878785,54786.75215626838,0
2026,Medium Rice,True,14888.484848484832,18480.000000000007,16575.264142419535,0
2026,Premium Rice,True,17325.9090909091,20913.989898989945,19067.034735418907,0
2026,Pure Beef,True,140505.1010101011,151225.00000000006,143536.46626331427,0
2026,Red Cayenne Pepper,True,33650.50505050499,86953.93939393936,56418.7479378822,0
2026,Shallots,True,23111.868686868696,42925.05050505041,37537.20723500565,0
2026,Simple Packaged Cooking Oil,True,17255.05050505051,17343.38383838385,17314.463973424656,0
